iter	loss	accuracy	f-score
1	0.11197812855243683	0.9119620110047486	0.421919770773639
2	0.4646070599555969	0.920592447425944	0.5034709535988309
3	0.11259842664003372	0.9213838848270144	0.4929262844378258
4	0.02266436442732811	0.9226652596668425	0.5478231059307508
5	0.10936209559440613	0.9268108841486394	0.5496296296296296
6	0.0037963255308568478	0.9280922589884676	0.5723684210526316
7	0.03485390543937683	0.9256048842993895	0.5546930134086097
8	0.3496091067790985	0.9275646340544207	0.5786694825765575
9	0.0856868326663971	0.9240220094972488	0.49049429657794674
10	0.033512912690639496	0.9294113213235848	0.5546468401486989
11	0.022897839546203613	0.9324263209467099	0.6138763197586726
12	0.01669515110552311	0.9326524459184442	0.6088235294117649
13	0.043206363916397095	0.9334061958242256	0.6188539741219963
14	0.009918831288814545	0.9329162583854677	0.6230483271375464
15	0.02450842410326004	0.9333308208336474	0.6069066862601029
16	0.0039153629913926125	0.9312580085927489	0.5865565152084116
17	0.05568959563970566	0.934273008215874	0.6389918458117124
18	0.14696842432022095	0.9317102585362177	0.5835843373493976
19	0.11960147321224213	0.9332177583477802	0.5898686679174484
20	0.001037146314047277	0.9309565086304364	0.5814307458143074
21	0.002995143411681056	0.9344991331876084	0.6200378071833649
22	0.017165880650281906	0.9361950704756162	0.6433145009416196
23	0.0012649694690480828	0.9361573829803271	0.6513693560325684
24	0.0030653984285891056	0.9347252581593427	0.6324081020255065
25	0.003512424184009433	0.9357051330368583	0.6518353726362626
26	0.06667925417423248	0.9337453832818271	0.6117824773413898
27	0.05126362293958664	0.9357805080274365	0.6509572901325479
28	0.011209504678845406	0.9348383206452099	0.6308376575240919
29	0.021831059828400612	0.9362327579709052	0.6480573368540173
30	0.07110738009214401	0.9344237581970303	0.6143396226415093
31	0.22906719148159027	0.9353659455792568	0.6390532544378698
32	0.06067032366991043	0.9358558830180146	0.6401179941002949
33	0.07246137410402298	0.936119695485038	0.6463142218912882
34	0.0119845075532794	0.9369111328861084	0.6559461480927449
35	0.009123796597123146	0.9365719454285069	0.6430939226519337
36	0.001111999386921525	0.9370618828672647	0.6591166477916195
37	0.00013686716556549072	0.9367980704002412	0.6586646661665416
38	0.014596647582948208	0.9365719454285069	0.6546681664791901
39	0.08768835663795471	0.9362704454661943	0.6414953271028038
40	0.21499788761138916	0.9372126328484209	0.659217877094972
41	0.08332185447216034	0.9361573829803271	0.6598689002184995
42	0.010070803575217724	0.936685007914374	0.6479939439818319
43	0.006336126942187548	0.9375141328107334	0.6586011342155008
44	0.01116693764925003	0.9377025702871787	0.6661676646706586
45	0.0007191575714387	0.9368357578955303	0.6554559043348281
46	6.859705899842083e-05	0.9366473204190849	0.6511627906976744
47	6.9150555646047e-05	0.9385693826788272	0.6694214876033058
48	0.02721760980784893	0.9366096329237958	0.647170527914926
49	0.36211448907852173	0.9372126328484209	0.658787647731605
50	0.0021830908954143524	0.9368357578955303	0.6377142857142857
51	0.008801746182143688	0.9386824451646943	0.673170731707317
52	0.11116593331098557	0.9384940076882491	0.6794150731158605
53	1.4024622352337701e-08	0.9388708826411397	0.6827817032354034
54	0.07348968088626862	0.937853320268335	0.6686634219393485
55	7.846278458600864e-05	0.9381171327353585	0.6541353383458647
56	0.04859308525919914	0.9377779452777568	0.6579144786196548
57	0.014871135354042053	0.9370618828672647	0.6496766831494865
58	0.10978081077337265	0.9370995703625538	0.6553544494720965
59	7.820986502338201e-05	0.9367980704002412	0.6455551316291491
60	0.0016252880450338125	0.9380417577447803	0.6717557251908397
61	3.415346145629883e-05	0.9377025702871787	0.6600910470409711
62	3.667372584459372e-05	0.9372503203437099	0.6547664261298899
63	6.277031388890464e-06	0.9390216326222959	0.6786248131539612
64	0.00020657248387578875	0.93845632019296	0.6613576033371256
65	0.0010346889030188322	0.9390216326222959	0.6795016987542468
66	0.09521805495023727	0.939059320117585	0.6789890607317993
67	2.6623407393344678e-05	0.9381925077259365	0.6706812194203988
68	5.729993063141592e-06	0.9387578201552724	0.6674208144796381
69	0.01860954612493515	0.9393608200798975	0.6786516853932585
70	0.04236747324466705	0.9395492575563428	0.6882286573899963
71	3.0653816907033615e-07	0.9394738825657647	0.6828721017202694
72	6.011737241351511e-06	0.9394738825657647	0.6751687921980495
73	0.00471926387399435	0.9392854450893193	0.686377245508982
74	0.13806554675102234	0.9390970076128741	0.6773211567732116
75	0.004445681814104319	0.93845632019296	0.6744890234670704
76	3.889850995619781e-05	0.9388331951458506	0.6711864406779661
77	3.109908720944077e-05	0.9386824451646943	0.6749435665914221
78	0.00025475473375990987	0.9389839451270069	0.6729464958553127
79	0.012775984592735767	0.9382678827165146	0.6633925198337741
80	0.036647602915763855	0.9380794452400694	0.6721991701244814
81	0.034974511712789536	0.9378156327730459	0.6530303030303031
82	0.022709958255290985	0.9387955076505615	0.6732447817836812
83	0.01653321459889412	0.9392477575940303	0.680334092634776
84	7.442065452778479e-06	0.9385316951835381	0.6681647940074906
85	0.007955907844007015	0.9380040702494912	0.6699284907790741
86	0.0006740855169482529	0.9380794452400694	0.6684131736526946
87	0.0002254812279716134	0.9387201326599834	0.6734539969834087
88	1.5888896086835302e-05	0.9382301952212256	0.6633925198337741
89	0.00014252720575314015	0.9385693826788272	0.6659150695227359
90	2.6584917577565648e-05	0.9382678827165146	0.6821415200299513
91	0.21691301465034485	0.9387201326599834	0.6804201050262565
92	0.00016776550910435617	0.9387578201552724	0.6772486772486771
93	1.610409185559547e-06	0.9386070701741163	0.676172607879925
94	0.008425915613770485	0.9388708826411397	0.6786516853932585
95	0.24363522231578827	0.9376271952966005	0.6575446598251616
96	0.00034988721017725766	0.9374387578201553	0.6552250190694127
97	1.6185971617233008e-05	0.9381925077259365	0.6757679180887372
98	0.21196189522743225	0.9387201326599834	0.6702006815600152
99	0.0013018607860431075	0.9389839451270069	0.6756960120391271
100	0.001172374002635479	0.93845632019296	0.6648996592199925
101	1.6313792002620175e-05	0.9381171327353585	0.6674225245653819
102	0.13717181980609894	0.9393231325846084	0.6803584764749813
103	3.6080677091376856e-05	0.9389085701364287	0.6833333333333335
104	0.005320033524185419	0.9386824451646943	0.6666666666666666
105	0.0	0.937891007763624	0.6738725307491614
106	0.0003853089583572	0.9383055702118037	0.6756960120391271
107	0.0	0.9382301952212256	0.6717038156403475
108	1.1920928955078125e-05	0.9387955076505615	0.6689291101055808
109	0.0009433297673240304	0.9392854450893193	0.6853722409277965
110	6.64808540022932e-05	0.9386447576694052	0.6761512542119056
