iter	loss	accuracy	f-score
1	0.9419489502906799	0.8277713127369646	0.0
2	1.0552239418029785	0.8290100979766508	0.0
3	0.6105585694313049	0.845114306092571	0.09859154929577466
4	0.56293785572052	0.8472915649986862	0.12755102040816327
5	0.9523353576660156	0.8458650850257142	0.10065359477124183
6	1.2040382623672485	0.8479672660385149	0.14833127317676142
7	0.17859677970409393	0.8492060512782011	0.14606021780909675
8	0.39592334628105164	0.8546116595968317	0.15565509518477047
9	0.3507562279701233	0.8615188257817485	0.1446985446985447
10	0.23720549046993256	0.8644093246743496	0.19194205522861024
11	0.48201239109039307	0.8710161792860093	0.2340764331210191
12	1.1050652265548706	0.8742445286985248	0.193138500635324
13	0.09446752816438675	0.8760463981380683	0.26303127506014434
14	0.5871949195861816	0.8761214760313826	0.17946021731510692
15	0.14040516316890717	0.8763467097113256	0.25614678899082566
16	0.4021429419517517	0.8790870528172979	0.2253737064009199
17	0.1198970377445221	0.8791245917639551	0.23909057572423908
18	0.1092001274228096	0.8801756822703555	0.2620552045227802
19	0.7753565311431885	0.8808513833101843	0.25811051693404635
20	1.510169267654419	0.8784864296707834	0.13237589759600374
21	0.35035210847854614	0.8747700739517249	0.2563767168083715
22	0.19106583297252655	0.8848680506025001	0.21780303030303033
23	0.22324059903621674	0.8864071474154436	0.24388789505068573
24	0.19662858545780182	0.8818649348699276	0.24888888888888888
25	0.06559399515390396	0.882202785389842	0.23370950127411722
26	0.29453951120376587	0.8875333158151583	0.2267080745341615
27	0.1803814321756363	0.892751229400503	0.27781765972720746
28	0.2681352496147156	0.8923007620406171	0.27720666430343854
29	0.3187471926212311	0.8950035661999324	0.2800133022946458
30	0.5303155779838562	0.8950411051465896	0.28723404255319157
31	0.15924207866191864	0.8938773978002177	0.3108368684920941
32	0.24315369129180908	0.8929389241337888	0.2517193947730399
33	0.7878199219703674	0.8960171177596756	0.28826151560178304
34	0.48638230562210083	0.8989076166522767	0.31891688604738627
35	0.19111090898513794	0.9003716355719058	0.3277428371767994
36	0.204253152012825	0.9022861218514209	0.332997650218194
37	0.11725743860006332	0.901610420811592	0.32936936936936934
38	0.12984967231750488	0.9019107323848493	0.3122529644268775
39	0.20009662210941315	0.9036375239310785	0.3529007895640234
40	0.059892717748880386	0.9025864334246781	0.3400696864111499
41	1.4028819799423218	0.9036375239310785	0.3385625684056914
