iter	loss	accuracy	f-score
1	1.5085691213607788	0.8514583880776305	0.13545347467608954
2	0.6880260705947876	0.8629077668080634	0.24963574550752793
3	0.6141694784164429	0.8474792597319719	0.26205264714581483
4	0.4156767427921295	0.8760088591914111	0.27240649258997884
5	0.4224695563316345	0.8892225684147302	0.36258278145695366
6	0.30598166584968567	0.8844551221892714	0.3131357806280407
7	0.15660825371742249	0.8844551221892714	0.3269230769230769
8	0.5098956823348999	0.8877585494951011	0.3408450704225352
9	0.05270012095570564	0.8873831600285296	0.35872781065088755
10	0.4235323965549469	0.8695146214197229	0.2933415158023933
11	0.5258740782737732	0.8998085513720485	0.3910981393651951
12	0.08426884561777115	0.902811667104621	0.41647770219198793
13	0.021780867129564285	0.8976312924659334	0.3775193798449612
14	0.7701325416564941	0.9052516986373362	0.42297650130548303
15	0.46872228384017944	0.8956041893464469	0.3629807692307692
16	0.369928240776062	0.8898982694545591	0.3615228131357163
17	0.3238915205001831	0.904951387064079	0.4248777078965758
18	0.20647047460079193	0.9031119786778783	0.39709649871904357
19	0.018460432067513466	0.9067907954502796	0.40527950310559
20	0.016211582347750664	0.9069409512369083	0.4228395061728395
21	0.2648213505744934	0.9123465595555389	0.4441240086517664
22	0.48521265387535095	0.9069784901835655	0.40626223091976515
23	0.06596818566322327	0.901835654491535	0.3947459384721742
24	0.7222923040390015	0.9066781786103082	0.4055265123226289
25	0.6440290808677673	0.9118585532489958	0.4296619411123228
26	0.6046873331069946	0.902548894478021	0.3909020817270625
27	0.13129594922065735	0.9153121363414543	0.45589325426241656
28	0.22140981256961823	0.9138481174218251	0.46294184720638537
29	0.236561119556427	0.9128345658620819	0.4571215510812826
30	0.2699986696243286	0.9101317617027667	0.4312962242117555
31	0.18797935545444489	0.9164007657945118	0.4503597122302158
32	0.10621719062328339	0.9060024775704794	0.39490445859872614
33	0.13235706090927124	0.9156499868613687	0.4544189283228949
34	0.24230137467384338	0.9133601111152821	0.4466733533935139
35	0.009316619485616684	0.9141484289950824	0.4715322888803974
36	0.10279925912618637	0.915725064754683	0.47848003101977504
37	0.12699048221111298	0.9174518563009122	0.48064392487543117
38	0.3210243582725525	0.9112579301024814	0.4174228675136116
39	0.5092163681983948	0.9172266226209692	0.4664391353811149
40	0.04507111385464668	0.9170389278876835	0.47401574803149604
41	0.22650030255317688	0.9170013889410263	0.46253602305475505
42	0.7136566042900085	0.9186531025939412	0.4848051483732571
43	0.5107307434082031	0.9153872142347685	0.45015630427231684
44	0.06932920962572098	0.9142235068883967	0.46017699115044247
45	0.10838211327791214	0.9138481174218251	0.42057142857142854
46	0.5736634731292725	0.9170389278876835	0.4831546707503829
47	0.11952561140060425	0.9164007657945118	0.44637053087757317
48	0.054671723395586014	0.9188032583805699	0.47534297367445305
49	0.6937870979309082	0.9213183678065994	0.492845786963434
50	0.6974372267723083	0.9157626037013401	0.4743952246308514
51	0.2611011564731598	0.9227448477795713	0.49347902714134645
52	0.0845193937420845	0.9197041931003416	0.4687144482366325
53	0.08772019296884537	0.9045759975975074	0.37250554323725055
54	0.3270324468612671	0.9263861256053155	0.5451084887704607
55	0.3552533686161041	0.9197417320469987	0.48108703635695926
56	0.2559570074081421	0.9175269341942265	0.4793103448275862
57	0.7927507758140564	0.9141859679417396	0.4316156528477334
58	0.035994358360767365	0.9225946919929426	0.4989293361884369
59	0.397278755903244	0.9169638499943692	0.4502369668246446
60	0.2650783360004425	0.9244341003791433	0.50374251497006
61	0.09391072392463684	0.9230076204061713	0.4914933837429112
62	0.013079210184514523	0.9259731971920868	0.5248337895971843
63	0.11125905811786652	0.9221442246330568	0.4846715328467153
64	0.0940907895565033	0.9222193025263711	0.4874662553027382
65	0.05991530418395996	0.8948909493599609	0.3518728717366629
66	0.23527970910072327	0.9248845677390293	0.5088578967206936
67	0.11886554211378098	0.9218814520064567	0.4766603415559772
68	0.19458304345607758	0.9192912646871129	0.47640117994100295
69	0.20944584906101227	0.9206426667667705	0.4996015936254981
70	0.07162585109472275	0.9232328540861143	0.48832901074472024
71	0.1833636313676834	0.9069034122902512	0.4250681198910082
72	0.0664936825633049	0.9278126055782875	0.5303201506591337
73	1.261671781539917	0.9235707046060287	0.5042857142857142
74	0.1282181441783905	0.9209429783400278	0.4900351699882767
75	0.338163822889328	0.9215811404331995	0.4691265060240964
76	0.2309645265340805	0.9188783362738842	0.48066298342541436
77	0.4432551860809326	0.921468523593228	0.49894291754756875
78	0.021930761635303497	0.908067119636623	0.4008733624454148
79	1.7952688932418823	0.9186531025939412	0.4865312888520514
80	0.014616049826145172	0.9175644731408836	0.47669491525423735
81	0.5124526619911194	0.9210931341266564	0.47110460863204096
82	0.07629922777414322	0.9271744434851158	0.5188713814584096
83	0.5793215036392212	0.9172641615676264	0.4687877567458719
84	0.8787366151809692	0.9112579301024814	0.4274061990212072
85	0.08552161604166031	0.9241337888058861	0.5045637093829864
86	0.042346350848674774	0.9148616689815684	0.46066962484872936
87	0.4763442873954773	0.9235331656593716	0.5040840140023336
88	0.01816602610051632	0.9246593340590863	0.5108575634891425
89	0.10058275610208511	0.925522729832201	0.5268522148177185
90	0.10926952213048935	0.9237959382859717	0.5146242132543503
91	0.4461821913719177	0.920042043620256	0.4487632508833922
92	0.12471325695514679	0.920042043620256	0.48142753095411506
93	0.7021985650062561	0.9278126055782875	0.5277582572030921
94	0.30562952160835266	0.9210555951799992	0.4830449826989619
95	0.21007676422595978	0.928187995044859	0.536075036075036
96	0.09220488369464874	0.9191786478471414	0.47175029632556303
97	0.0906529650092125	0.9203048162468561	0.48734916309848186
98	0.05177338793873787	0.9200045046735988	0.4704131001116487
99	0.1772116720676422	0.9182777131273696	0.47203175748827136
100	0.03911083564162254	0.9244716393258006	0.5003785011355034
101	0.14337463676929474	0.9222193025263711	0.49497293116782676
102	0.031173577532172203	0.9298772476444311	0.5356622998544396
103	0.14761123061180115	0.9205300499267991	0.48282566429034346
104	0.38894036412239075	0.9278126055782875	0.5229485396383867
105	0.07676909118890762	0.9277750666316303	0.5154639175257731
106	0.16508090496063232	0.925785502458801	0.5028100412139378
107	0.13299597799777985	0.9214309846465708	0.48641210870313034
108	0.006777358241379261	0.923871016179286	0.5148733015056923
109	1.3174175024032593	0.9244716393258006	0.5051507058374666
110	0.49630266427993774	0.9225571530462855	0.5074204946996467
111	0.36794453859329224	0.9284883066181163	0.551347414420976
112	1.1651700735092163	0.9261984308720297	0.527378640776699
113	0.03858979046344757	0.922669769886257	0.4913227921326649
114	0.1270788311958313	0.9290513908179736	0.5489471739933506
115	0.388240247964859	0.9277750666316303	0.5363984674329502
116	0.1836494356393814	0.929389241337888	0.5100474972597734
117	0.07468970865011215	0.9283756897781448	0.511310592459605
118	0.43817171454429626	0.9176020120875408	0.4359479700433582
119	0.09651295095682144	0.931040954990803	0.5367483296213807
120	0.2631398141384125	0.9221817635797139	0.48422597212032276
121	0.013750995509326458	0.9187281804872556	0.4851097178683385
122	0.06730084866285324	0.9248470287923721	0.5079365079365079
123	0.1871831715106964	0.9234956267127145	0.5107735782409043
124	0.07273335754871368	0.9180900183940839	0.46006624953993375
125	0.0673096776008606	0.9279627613649161	0.5229734777736271
126	0.26416969299316406	0.9223319193663426	0.47146207974980453
127	0.030176060274243355	0.9267990540185442	0.5255920550038198
128	0.06218236684799194	0.9262359698186868	0.5001812250815513
129	0.0945524275302887	0.925297496152258	0.49866970733561383
130	0.17687587440013885	0.9247344119524006	0.49602888086642594
131	0.10156267136335373	0.9275873718983445	0.5195652173913043
132	1.2603873014450073	0.9302526371110027	0.5318761384335154
133	0.09521821141242981	0.9258230414054581	0.5219717233473442
134	0.7928172945976257	0.9234580877660573	0.5086614173228347
135	0.5040589570999146	0.9272119824317729	0.5074738415545591
136	0.10323983430862427	0.9251473403656293	0.49751596877217885
137	0.11255329102277756	0.9269492098051728	0.52
138	0.19198434054851532	0.9285258455647735	0.5294567712318287
139	0.11741834878921509	0.9257479635121438	0.5224952741020793
140	0.0548078678548336	0.9284507676714592	0.5380517503805176
141	0.37064382433891296	0.9269492098051728	0.5225362872421696
