iter	loss	accuracy	f-score
1	0.23656319081783295	0.9204040099494988	0.5130198212203653
2	0.16521504521369934	0.9329539458807568	0.6506119226213974
3	0.041338711977005005	0.9357805080274365	0.6792738275340393
4	0.19144201278686523	0.936685007914374	0.681504221028396
5	0.05588685721158981	0.9387201326599834	0.7067437379576108
6	0.005336049944162369	0.9392100700987412	0.7089292616930808
7	0.015586121007800102	0.9398130700233662	0.6972408650260999
8	0.061118125915527344	0.9395492575563428	0.7150837988826816
9	0.03580225259065628	0.9377025702871787	0.6941964285714285
10	0.0015750317834317684	0.9397376950327881	0.713063763608087
11	0.10025551915168762	0.9405291324338585	0.7057045712126936
12	0.003177203005179763	0.9381925077259365	0.7055800293685758
13	0.0024876543320715427	0.9407552574055928	0.7175572519083969
14	0.009416699409484863	0.9406798824150147	0.7135830495648885
15	0.01235516183078289	0.9412075073490616	0.7136866183759054
16	0.02548552118241787	0.9409436948820381	0.7112135176651305
17	0.022294018417596817	0.9411321323584835	0.7215238095238095
18	0.011369303800165653	0.9416220697972413	0.7191858273652469
19	0.03453700989484787	0.9403783824527022	0.7196333078686019
20	0.04950026422739029	0.9393608200798975	0.7037037037037037
21	0.04859510064125061	0.9415466948066632	0.7094081942336874
22	0.042890872806310654	0.9406421949197257	0.7070161912104858
23	0.12262766063213348	0.9404914449385694	0.7088224157516092
24	0.09329342842102051	0.94207431974071	0.7227342549923195
25	0.06346023082733154	0.9415090073113741	0.7123076923076923
26	0.006966923829168081	0.9410567573679053	0.7063829787234043
27	0.012088288553059101	0.9409060073867491	0.7069096431283218
28	0.06856756657361984	0.9436195070475616	0.7301343570057581
29	0.04261982440948486	0.9436195070475616	0.7261050245561014
30	0.014317146502435207	0.9421496947312882	0.7098248286367098
31	0.05283571407198906	0.9424135071983116	0.7098464994384126
32	0.06390343606472015	0.9418858822642647	0.7174163783160322
33	0.049175649881362915	0.9407175699103038	0.7027658745617452
34	0.027020033448934555	0.9427526946559132	0.7272033574971385
35	0.030902044847607613	0.9416974447878194	0.7193048734416321
36	0.029899315908551216	0.9425265696841788	0.7167106752168992
37	0.04336327686905861	0.9411321323584835	0.7094367773218948
38	0.006026213523000479	0.9430541946182257	0.7276853252647504
39	0.1547919660806656	0.9421873822265773	0.7243735763097949
40	0.14207406342029572	0.9422627572171554	0.7337413925019127
41	0.0023275522980839014	0.9418481947689756	0.7228096676737159
42	0.0027123549953103065	0.9433180070852492	0.7338957055214724
43	0.0003510401875246316	0.9422250697218663	0.722264728385616
44	0.009215923957526684	0.9388331951458506	0.6810007818608287
45	0.0578104704618454	0.9428280696464912	0.7242424242424242
46	0.017089737579226494	0.9423381322077334	0.722052067381317
47	0.006106824614107609	0.9409813823773272	0.6897329823241821
48	0.0014635666739195585	0.9426773196653351	0.7300985595147839
49	0.018969031050801277	0.9404914449385694	0.7035755478662052
50	0.06531670689582825	0.9426019446747569	0.718690521507423
51	0.008767051622271538	0.9424888821888897	0.7164179104477613
52	0.0008162487065419555	0.9418858822642647	0.7189739720860052
53	0.004045125097036362	0.94207431974071	0.7244936950706916
54	0.0006757683586329222	0.9416220697972413	0.7109760729206228
55	0.02011869288980961	0.9426019446747569	0.7096774193548386
56	0.021199380978941917	0.9412075073490616	0.7157652474108172
57	0.0036638767924159765	0.9424511946936006	0.7208083832335329
58	0.03531600534915924	0.9422250697218663	0.7191521574564723
59	0.03295392170548439	0.9425642571794679	0.7160775370581528
60	0.029606416821479797	0.9421873822265773	0.7269215913480108
61	0.000948181317653507	0.9422627572171554	0.727966425028615
62	0.060286734253168106	0.9415466948066632	0.7122550902804456
63	0.005059023853391409	0.9427526946559132	0.7135377711293942
64	0.0009578093886375427	0.9417728197783976	0.7237294612151317
65	0.003670434234663844	0.9418481947689756	0.7112648981161092
66	0.0006710980087518692	0.9423381322077334	0.7150964812712827
67	0.16135522723197937	0.9427526946559132	0.724887556221889
68	0.0017267734510824084	0.9425265696841788	0.7232918082295204
69	0.0019824423361569643	0.942639632170046	0.722010662604722
70	0.06609909981489182	0.9427150071606241	0.730195177956372
71	0.06149392947554588	0.9417351322831085	0.7160015497869042
72	0.003330058418214321	0.9400768824903897	0.7054741711642252
73	0.00030750082805752754	0.9414336323207959	0.7195121951219512
74	0.05305568501353264	0.9428657571417803	0.7186212064443612
75	0.01659063994884491	0.942639632170046	0.7051330086174596
76	0.06495510786771774	0.9421873822265773	0.7200911507785795
77	0.004635930992662907	0.9426773196653351	0.7195402298850575
78	0.00244828755967319	0.9432803195899601	0.728993186979561
79	0.01687677949666977	0.9435818195522726	0.728436911487759
80	0.07026097178459167	0.9407175699103038	0.7047108387590961
81	0.0019751661457121372	0.9435441320569835	0.7281626506024096
82	0.0074223303236067295	0.9415466948066632	0.7163147792706335
83	0.00015959695156197995	0.9430918821135147	0.7262400605831125
84	0.004829095676541328	0.9425642571794679	0.7250187828700226
85	0.0016052841674536467	0.9429034446370694	0.7318563789152026
86	0.019860241562128067	0.9413959448255069	0.7097023579435641
87	0.048276856541633606	0.9423381322077334	0.7295019157088122
88	0.006372321397066116	0.9431295696088038	0.7306666666666667
